endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1683227543.880	1076	1075	265	14567	isSuccessful	200
1683227546.112	552	552	265	14567	isSuccessful	200
1683227549.297	751	751	265	14567	isSuccessful	200
1683227552.283	740	740	265	14567	isSuccessful	200
1683227555.286	710	710	265	14567	isSuccessful	200
1683227558.037	478	478	265	14567	isSuccessful	200
1683227561.124	566	566	265	14567	isSuccessful	200
1683227563.992	434	434	265	14567	isSuccessful	200
1683227567.074	517	517	265	14567	isSuccessful	200
1683227570.038	476	476	265	14567	isSuccessful	200
1683227573.051	492	492	265	14567	isSuccessful	200
1683227576.165	608	608	265	14567	isSuccessful	200
1683227579.039	482	482	265	14567	isSuccessful	200
1683227582.048	500	500	265	14567	isSuccessful	200
1683227585.057	512	512	265	14567	isSuccessful	200
1683227588.013	471	471	265	14567	isSuccessful	200
1683227591.036	493	493	265	14567	isSuccessful	200
1683227593.974	389	389	265	14567	isSuccessful	200
1683227597.157	568	568	265	14567	isSuccessful	200
1683227601.096	1504	1504	265	14567	isSuccessful	200
1683227603.124	549	549	265	14567	isSuccessful	200
1683227606.026	453	453	265	14567	isSuccessful	200
1683227609.066	491	491	265	14567	isSuccessful	200
1683227612.127	550	550	265	14567	isSuccessful	200
1683227615.067	490	490	265	14567	isSuccessful	200
1683227618.050	478	478	265	14567	isSuccessful	200
1683227621.119	552	552	265	14567	isSuccessful	200
1683227624.126	566	566	265	14567	isSuccessful	200
1683227627.152	594	594	265	14567	isSuccessful	200
1683227630.099	526	526	265	14567	isSuccessful	200
1683227633.025	452	452	265	14567	isSuccessful	200
1683227635.984	412	412	265	14567	isSuccessful	200
1683227639.321	762	762	265	14567	isSuccessful	200
1683227642.189	629	629	265	14567	isSuccessful	200
1683227645.078	517	517	265	14567	isSuccessful	200
1683227648.031	465	465	265	14567	isSuccessful	200
1683227651.197	640	640	265	14567	isSuccessful	200
1683227654.211	650	650	265	14567	isSuccessful	200
1683227657.118	557	557	265	14567	isSuccessful	200
1683227661.186	1628	1628	265	14567	isSuccessful	200
1683227663.020	460	460	265	14567	isSuccessful	200
1683227666.061	504	504	265	14567	isSuccessful	200
1683227671.873	3315	3315	265	14567	isSuccessful	200
1683227675.063	3502	3502	265	14567	isSuccessful	200
1683227675.069	509	509	265	14567	isSuccessful	200
1683227679.695	2130	2130	265	14567	isSuccessful	200
1683227683.150	2588	2588	265	14567	isSuccessful	200
1683227683.972	412	412	265	14567	isSuccessful	200
1683227687.100	543	543	265	14567	isSuccessful	200
1683227690.177	618	618	265	14567	isSuccessful	200
1683227696.195	628	628	265	14567	isSuccessful	200
1683227697.173	4615	4615	265	14567	isSuccessful	200
1683227699.003	445	445	265	14567	isSuccessful	200
1683227701.971	412	411	265	14567	isSuccessful	200
1683227705.232	674	673	265	14567	isSuccessful	200
1683227708.325	764	764	265	14567	isSuccessful	200
1683227711.607	1048	1048	265	14567	isSuccessful	200
1683227714.589	1030	1030	265	14567	isSuccessful	200
1683227717.662	1098	1098	265	14567	isSuccessful	200
1683227720.149	589	589	265	14567	isSuccessful	200
1683227723.071	511	511	265	14567	isSuccessful	200
endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1683228049.344	550	550	265	14567	isSuccessful	200
1683228050.358	567	567	265	14567	isSuccessful	200
1683228051.192	387	387	265	14567	isSuccessful	200
1683228052.260	471	471	265	14567	isSuccessful	200
endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1683228061.194	399	399	265	14567	isSuccessful	200
1683228062.143	419	419	265	14567	isSuccessful	200
1683228063.231	525	525	265	14567	isSuccessful	200
1683228064.634	888	888	265	14567	isSuccessful	200
1683228065.345	512	512	265	14567	isSuccessful	200
1683228066.282	494	494	265	14567	isSuccessful	200
1683228067.284	483	483	265	14567	isSuccessful	200
1683228068.300	495	495	265	14567	isSuccessful	200
1683228069.332	531	531	265	14567	isSuccessful	200
1683228070.726	922	922	265	14567	isSuccessful	200
1683228071.222	420	420	265	14567	isSuccessful	200
1683228072.400	598	598	265	14567	isSuccessful	200
1683228073.396	579	579	265	14567	isSuccessful	200
1683228074.187	385	385	265	14567	isSuccessful	200
1683228075.282	463	463	265	14567	isSuccessful	200
1683228076.369	549	549	265	14567	isSuccessful	200
1683228077.312	495	495	265	14567	isSuccessful	200
1683228078.408	591	591	265	14567	isSuccessful	200
1683228079.282	432	432	265	14567	isSuccessful	200
1683228080.346	498	498	265	14567	isSuccessful	200
1683228081.474	624	623	265	14567	isSuccessful	200
1683228082.355	523	523	265	14567	isSuccessful	200
1683228083.432	599	599	265	14567	isSuccessful	200
1683228084.370	537	536	265	14567	isSuccessful	200
1683228085.359	527	527	265	14567	isSuccessful	200
1683228086.360	528	528	265	14567	isSuccessful	200
1683228087.348	516	516	265	14567	isSuccessful	200
1683228088.259	423	423	265	14567	isSuccessful	200
1683228089.414	581	581	265	14567	isSuccessful	200
1683228090.257	425	425	265	14567	isSuccessful	200
1683228092.242	409	409	265	14567	isSuccessful	200
1683228093.278	445	445	265	14567	isSuccessful	200
1683228094.276	440	440	265	14567	isSuccessful	200
1683228095.335	499	499	265	14567	isSuccessful	200
1683228096.310	477	477	265	14567	isSuccessful	200
1683228097.395	562	562	265	14567	isSuccessful	200
1683228098.253	7433	7433	265	14567	isSuccessful	200
1683228098.289	455	455	265	14567	isSuccessful	200
1683228099.329	494	494	265	14567	isSuccessful	200
1683228100.377	539	539	265	14567	isSuccessful	200
1683228101.334	495	495	265	14567	isSuccessful	200
1683228102.258	424	424	265	14567	isSuccessful	200
1683228103.323	491	491	265	14567	isSuccessful	200
1683228104.466	630	630	265	14567	isSuccessful	200
1683228105.352	516	516	265	14567	isSuccessful	200
1683228106.302	466	466	265	14567	isSuccessful	200
1683228107.281	448	448	265	14567	isSuccessful	200
1683228108.389	556	556	265	14567	isSuccessful	200
1683228109.572	737	737	265	14567	isSuccessful	200
1683228110.214	382	382	265	14567	isSuccessful	200
1683228111.243	411	410	265	14567	isSuccessful	200
1683228112.338	505	505	265	14567	isSuccessful	200
1683228113.348	532	532	265	14567	isSuccessful	200
1683228114.385	552	552	265	14567	isSuccessful	200
1683228115.386	551	551	265	14567	isSuccessful	200
1683228116.255	435	433	265	14567	isSuccessful	200
1683228117.366	533	533	265	14567	isSuccessful	200
1683228118.353	519	519	265	14567	isSuccessful	200
1683228119.401	553	553	265	14567	isSuccessful	200
1683228120.251	416	416	265	14567	isSuccessful	200
1683228121.542	699	699	265	14567	isSuccessful	200
1683228122.302	470	470	265	14567	isSuccessful	200
1683228123.304	472	472	265	14567	isSuccessful	200
1683228124.305	470	470	265	14567	isSuccessful	200
1683228125.386	553	553	265	14567	isSuccessful	200
1683228126.309	476	476	265	14567	isSuccessful	200
1683228127.403	572	572	265	14567	isSuccessful	200
1683228128.580	751	751	265	14567	isSuccessful	200
1683228129.376	547	547	265	14567	isSuccessful	200
1683228130.314	482	482	265	14567	isSuccessful	200
1683228131.407	572	572	265	14567	isSuccessful	200
1683228132.349	517	517	265	14567	isSuccessful	200
1683228133.275	439	439	265	14567	isSuccessful	200
1683228134.283	446	445	265	14567	isSuccessful	200
1683228135.480	648	648	265	14567	isSuccessful	200
1683228136.303	470	470	265	14567	isSuccessful	200
1683228137.320	487	487	265	14567	isSuccessful	200
1683228138.281	449	449	265	14567	isSuccessful	200
1683228139.273	438	438	265	14567	isSuccessful	200
1683228140.407	575	575	265	14567	isSuccessful	200
1683228141.490	658	658	265	14567	isSuccessful	200
1683228142.480	647	647	265	14567	isSuccessful	200
1683228143.347	515	515	265	14567	isSuccessful	200
1683228144.406	574	574	265	14567	isSuccessful	200
1683228145.294	461	461	265	14567	isSuccessful	200
1683228146.363	531	531	265	14567	isSuccessful	200
1683228147.342	510	510	265	14567	isSuccessful	200
1683228148.215	381	381	265	14567	isSuccessful	200
1683228149.237	403	403	265	14567	isSuccessful	200
1683228150.334	496	496	265	14567	isSuccessful	200
1683228151.263	445	445	265	14567	isSuccessful	200
1683228152.268	448	448	265	14567	isSuccessful	200
1683228153.318	497	497	265	14567	isSuccessful	200
1683228154.281	452	452	265	14567	isSuccessful	200
1683228155.242	421	421	265	14567	isSuccessful	200
1683228156.216	398	398	265	14567	isSuccessful	200
1683228157.245	420	420	265	14567	isSuccessful	200
1683228158.385	563	563	265	14567	isSuccessful	200
1683228159.325	504	504	265	14567	isSuccessful	200
1683228160.302	481	481	265	14567	isSuccessful	200
1683228161.312	506	506	265	14567	isSuccessful	200
1683228162.333	514	514	265	14567	isSuccessful	200
1683228163.191	480	480	265	14567	isSuccessful	200
1683228164.211	395	395	265	14567	isSuccessful	200
1683228165.182	472	472	265	14567	isSuccessful	200
1683228166.352	533	533	265	14567	isSuccessful	200
1683228167.258	439	439	265	14567	isSuccessful	200
1683228168.243	424	424	265	14567	isSuccessful	200
1683228169.390	570	570	265	14567	isSuccessful	200
1683228170.322	505	505	265	14567	isSuccessful	200
1683228171.267	450	450	265	14567	isSuccessful	200
1683228172.378	560	560	265	14567	isSuccessful	200
1683228173.364	546	546	265	14567	isSuccessful	200
1683228174.198	381	381	265	14567	isSuccessful	200
1683228175.281	465	465	265	14567	isSuccessful	200
1683228176.342	523	523	265	14567	isSuccessful	200
1683228177.422	603	603	265	14567	isSuccessful	200
1683228178.259	443	443	265	14567	isSuccessful	200
1683228179.260	445	445	265	14567	isSuccessful	200
1683228180.321	505	505	265	14567	isSuccessful	200
1683228181.317	513	513	265	14567	isSuccessful	200
1683228182.299	493	493	265	14567	isSuccessful	200
1683228183.246	444	444	265	14567	isSuccessful	200
1683228184.250	449	449	265	14567	isSuccessful	200
1683228185.337	534	534	265	14567	isSuccessful	200
1683228186.356	556	556	265	14567	isSuccessful	200
1683228187.251	453	453	265	14567	isSuccessful	200
1683228188.232	435	435	265	14567	isSuccessful	200
1683228189.360	563	563	265	14567	isSuccessful	200
1683228190.250	445	445	265	14567	isSuccessful	200
1683228191.430	628	628	265	14567	isSuccessful	200
1683228192.223	416	416	265	14567	isSuccessful	200
1683228193.290	481	481	265	14567	isSuccessful	200
1683228194.206	402	402	265	14567	isSuccessful	200
1683228195.276	475	475	265	14567	isSuccessful	200
1683228196.244	442	442	265	14567	isSuccessful	200
1683228197.296	494	494	265	14567	isSuccessful	200
1683228198.344	544	544	265	14567	isSuccessful	200
1683228200.214	413	413	265	14567	isSuccessful	200
1683228201.266	480	480	265	14567	isSuccessful	200
1683228202.244	457	457	265	14567	isSuccessful	200
1683228203.380	609	608	265	14567	isSuccessful	200
1683228204.261	491	491	265	14567	isSuccessful	200
1683228205.270	498	497	265	14567	isSuccessful	200
1683228206.359	588	588	265	14567	isSuccessful	200
1683228207.237	466	466	265	14567	isSuccessful	200
1683228208.306	536	536	265	14567	isSuccessful	200
1683228209.358	588	588	265	14567	isSuccessful	200
1683228210.313	544	544	265	14567	isSuccessful	200
1683228211.336	538	538	265	14567	isSuccessful	200
1683228212.354	626	626	265	14567	isSuccessful	200
1683228213.303	573	573	265	14567	isSuccessful	200
1683228214.429	658	658	265	14567	isSuccessful	200
1683228215.251	481	481	265	14567	isSuccessful	200
1683228216.286	516	516	265	14567	isSuccessful	200
1683228217.407	637	637	265	14567	isSuccessful	200
1683228218.313	540	540	265	14567	isSuccessful	200
1683228219.275	489	489	265	14567	isSuccessful	200
1683228219.848	21047	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683228220.231	462	462	265	14567	isSuccessful	200
1683228221.277	486	486	265	14567	isSuccessful	200
1683228222.254	468	468	265	14567	isSuccessful	200
1683228223.158	389	389	265	14567	isSuccessful	200
1683228224.258	460	460	265	14567	isSuccessful	200
1683228225.323	533	533	265	14567	isSuccessful	200
1683228226.213	424	424	265	14567	isSuccessful	200
1683228227.208	434	434	265	14567	isSuccessful	200
1683228228.323	570	570	265	14567	isSuccessful	200
1683228229.263	492	492	265	14567	isSuccessful	200
1683228230.171	417	417	265	14567	isSuccessful	200
1683228231.225	464	464	265	14567	isSuccessful	200
1683228232.250	493	493	265	14567	isSuccessful	200
1683228233.245	463	463	265	14567	isSuccessful	200
1683228234.252	498	498	265	14567	isSuccessful	200
1683228235.176	419	419	265	14567	isSuccessful	200
1683228236.275	518	518	265	14567	isSuccessful	200
1683228237.225	471	471	265	14567	isSuccessful	200
1683228238.226	456	456	265	14567	isSuccessful	200
1683228239.297	472	472	265	14567	isSuccessful	200
1683228240.189	429	429	265	14567	isSuccessful	200
1683228241.202	448	448	265	14567	isSuccessful	200
endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1683709610.673	21163	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709611.545	21046	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709612.549	21053	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709613.541	21040	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709614.557	21049	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709615.557	21049	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709616.541	21029	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709617.541	21039	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709618.559	21058	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709619.551	21042	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709620.551	21040	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709621.551	21053	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709622.557	21056	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709623.557	21056	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709624.526	21029	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
1683709625.576	21051	0	265	2898	isSuccessful	Non HTTP response code: org.apache.http.conn.HttpHostConnectException
endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1683709655.200	1001	1001	265	14567	isSuccessful	200
1683709655.900	693	693	265	14567	isSuccessful	200
1683709656.259	354	354	265	14567	isSuccessful	200
1683709656.931	704	704	265	14567	isSuccessful	200
1683709657.123	335	335	265	14567	isSuccessful	200
1683709657.409	282	282	265	14567	isSuccessful	200
1683709658.443	406	406	265	14567	isSuccessful	200
1683709658.746	298	298	265	14567	isSuccessful	200
1683709659.582	391	391	265	14567	isSuccessful	200
1683709659.963	376	376	265	14567	isSuccessful	200
1683709660.209	244	244	265	14567	isSuccessful	200
1683709660.520	307	307	265	14567	isSuccessful	200
1683709660.779	256	256	265	14567	isSuccessful	200
1683709661.104	321	321	265	14567	isSuccessful	200
1683709661.380	272	272	265	14567	isSuccessful	200
1683709661.643	260	259	265	14567	isSuccessful	200
1683709661.892	246	246	265	14567	isSuccessful	200
1683709662.140	245	245	265	14567	isSuccessful	200
1683709662.416	273	273	265	14567	isSuccessful	200
1683709662.691	271	271	265	14567	isSuccessful	200
1683709663.440	753	753	265	14567	isSuccessful	200
1683709663.802	358	358	265	14567	isSuccessful	200
1683709663.921	700	700	265	14567	isSuccessful	200
1683709663.935	710	710	265	14567	isSuccessful	200
1683709664.067	257	257	265	14567	isSuccessful	200
1683709664.280	351	351	265	14567	isSuccessful	200
1683709664.374	303	303	265	14567	isSuccessful	200
1683709664.904	684	684	265	14567	isSuccessful	200
1683709664.985	385	385	265	14567	isSuccessful	200
1683709665.027	427	426	265	14567	isSuccessful	200
1683709665.297	266	266	265	14567	isSuccessful	200
1683709665.298	391	391	265	14567	isSuccessful	200
1683709666.108	887	887	265	14567	isSuccessful	200
1683709666.440	329	329	265	14567	isSuccessful	200
1683709666.484	801	801	265	14567	isSuccessful	200
1683709666.532	849	849	265	14567	isSuccessful	200
1683709666.763	310	310	265	14567	isSuccessful	200
1683709666.938	403	403	265	14567	isSuccessful	200
1683709666.938	735	735	265	14567	isSuccessful	200
1683709667.043	269	269	265	14567	isSuccessful	200
1683709667.215	274	274	265	14567	isSuccessful	200
